Date,Close
10/28/16,2126.41
10/27/16,2133.04
10/26/16,2139.43
10/25/16,2143.16
10/24/16,2151.33
10/21/16,2141.16
10/20/16,2141.34
10/19/16,2144.29
10/18/16,2139.60
10/17/16,2126.50
10/14/16,2132.98
10/13/16,2132.55
10/12/16,2139.18
10/11/16,2136.73
10/10/16,2163.66
10/7/16,2153.74
10/6/16,2160.77
10/5/16,2159.73
10/4/16,2150.49
10/3/16,2161.20
9/30/16,2168.27
9/29/16,2151.13
9/28/16,2171.37
9/27/16,2159.93
9/26/16,2146.10
9/23/16,2164.69
9/22/16,2177.18
9/21/16,2163.12
9/20/16,2139.76
9/19/16,2139.12
9/16/16,2139.16
9/15/16,2147.26
9/14/16,2125.77
9/13/16,2127.02
9/12/16,2159.04
9/9/16,2127.81
9/8/16,2181.30
9/7/16,2186.16
9/6/16,2186.48
9/2/16,2179.98
9/1/16,2170.86
8/31/16,2170.95
8/30/16,2176.12
8/29/16,2180.38
8/26/16,2169.04
8/25/16,2172.47
8/24/16,2175.44
8/23/16,2186.90
8/22/16,2182.64
8/19/16,2183.87
8/18/16,2187.02
8/17/16,2182.22
8/16/16,2178.15
8/15/16,2190.15
8/12/16,2184.05
8/11/16,2185.79
8/10/16,2175.49
8/9/16,2181.74
8/8/16,2180.89
8/5/16,2182.87
8/4/16,2164.25
8/3/16,2163.79
8/2/16,2157.03
8/1/16,2170.84
7/29/16,2173.60
7/28/16,2170.06
7/27/16,2166.58
7/26/16,2169.18
7/25/16,2168.48
7/22/16,2175.03
7/21/16,2165.17
7/20/16,2173.02
7/19/16,2163.78
7/18/16,2166.89
7/15/16,2161.74
7/14/16,2163.75
7/13/16,2152.43
7/12/16,2152.14
7/11/16,2137.16
7/8/16,2129.90
7/7/16,2097.90
7/6/16,2099.73
7/5/16,2088.55
7/1/16,2102.95
6/30/16,2098.86
6/29/16,2070.77
6/28/16,2036.09
6/27/16,2000.54
6/24/16,2037.41
6/23/16,2113.32
6/22/16,2085.45
6/21/16,2088.90
6/20/16,2083.25
6/17/16,2071.22
6/16/16,2077.99
6/15/16,2071.50
6/14/16,2075.32
6/13/16,2079.06
6/10/16,2096.07
6/9/16,2115.48
6/8/16,2119.12
6/7/16,2112.13
6/6/16,2109.41
6/3/16,2099.13
6/2/16,2105.26
6/1/16,2099.33
5/31/16,2096.96
5/27/16,2099.06
5/26/16,2090.10
5/25/16,2090.54
5/24/16,2076.06
5/23/16,2048.04
5/20/16,2052.32
5/19/16,2040.04
5/18/16,2047.63
5/17/16,2047.21
5/16/16,2066.66
5/13/16,2046.61
5/12/16,2064.11
5/11/16,2064.46
5/10/16,2084.39
5/9/16,2058.69
5/6/16,2057.14
5/5/16,2050.63
5/4/16,2051.12
5/3/16,2063.37
5/2/16,2081.43
4/29/16,2065.30
4/28/16,2075.81
4/27/16,2095.15
4/26/16,2091.70
4/25/16,2087.79
4/22/16,2091.58
4/21/16,2091.48
4/20/16,2102.40
4/19/16,2100.80
4/18/16,2094.34
4/15/16,2080.73
4/14/16,2082.78
4/13/16,2082.42
4/12/16,2061.72
4/11/16,2041.99
4/8/16,2047.60
4/7/16,2041.91
4/6/16,2066.66
4/5/16,2045.17
4/4/16,2066.13
4/1/16,2072.78
3/31/16,2059.74
3/30/16,2063.95
3/29/16,2055.01
3/28/16,2037.05
3/24/16,2035.94
3/23/16,2036.71
3/22/16,2049.80
3/21/16,2051.60
3/18/16,2049.58
3/17/16,2040.59
3/16/16,2027.22
3/15/16,2015.93
3/14/16,2019.64
3/11/16,2022.19
3/10/16,1989.57
3/9/16,1989.27
3/8/16,1979.26
3/7/16,2001.76
3/4/16,1999.99
3/3/16,1993.40
3/2/16,1986.45
3/1/16,1978.35
2/29/16,1932.23
2/26/16,1948.05
2/25/16,1951.70
2/24/16,1929.80
2/23/16,1921.27
2/22/16,1945.50
2/19/16,1917.78
2/18/16,1917.83
2/17/16,1926.83
2/16/16,1895.58
2/12/16,1864.78
2/11/16,1829.08
2/10/16,1851.86
2/9/16,1852.21
2/8/16,1853.44
2/5/16,1880.05
2/4/16,1915.45
2/3/16,1912.53
2/2/16,1903.03
2/1/16,1939.38
1/29/16,1940.24
1/28/16,1893.36
1/27/16,1882.95
1/26/16,1903.63
1/25/16,1877.08
1/22/16,1906.90
1/21/16,1868.99
1/20/16,1859.33
1/19/16,1881.33
1/15/16,1880.33
1/14/16,1921.84
1/13/16,1890.28
1/12/16,1938.68
1/11/16,1923.67
1/8/16,1922.03
1/7/16,1943.09
1/6/16,1990.26
1/5/16,2016.71
1/4/16,2012.66
12/31/15,2043.94
12/30/15,2063.36
12/29/15,2078.36
12/28/15,2056.50
12/24/15,2060.99
12/23/15,2064.29
12/22/15,2038.97
12/21/15,2021.15
12/18/15,2005.55
12/17/15,2041.89
12/16/15,2073.07
12/15/15,2043.41
12/14/15,2021.94
12/11/15,2012.37
12/10/15,2052.23
12/9/15,2047.62
12/8/15,2063.59
12/7/15,2077.07
12/4/15,2091.69
12/3/15,2049.62
12/2/15,2079.51
12/1/15,2102.63
11/30/15,2080.41
11/27/15,2090.11
11/25/15,2088.87
11/24/15,2089.14
11/23/15,2086.59
11/20/15,2089.17
11/19/15,2081.24
11/18/15,2083.58
11/17/15,2050.44
11/16/15,2053.19
11/13/15,2023.04
11/12/15,2045.97
11/11/15,2075.00
11/10/15,2081.72
11/9/15,2078.58
11/6/15,2099.20
11/5/15,2099.93
11/4/15,2102.31
11/3/15,2109.79
11/2/15,2104.05
10/30/15,2079.36
10/29/15,2089.41
10/28/15,2090.35
10/27/15,2065.89
10/26/15,2071.18
10/23/15,2075.15
10/22/15,2052.51
10/21/15,2018.94
10/20/15,2030.77
10/19/15,2033.66
10/16/15,2033.11
10/15/15,2023.86
10/14/15,1994.24
10/13/15,2003.69
10/12/15,2017.46
10/9/15,2014.89
10/8/15,2013.43
10/7/15,1995.83
10/6/15,1979.92
10/5/15,1987.05
10/2/15,1951.36
10/1/15,1923.82
9/30/15,1920.03
9/29/15,1884.09
9/28/15,1881.77
9/25/15,1931.34
9/24/15,1932.24
9/23/15,1938.76
9/22/15,1942.74
9/21/15,1966.97
9/18/15,1958.03
9/17/15,1990.20
9/16/15,1995.31
9/15/15,1978.09
9/14/15,1953.03
9/11/15,1961.05
9/10/15,1952.29
9/9/15,1942.04
9/8/15,1969.41
9/4/15,1921.22
9/3/15,1951.13
9/2/15,1948.86
9/1/15,1913.85
8/31/15,1972.18
8/28/15,1988.87
8/27/15,1987.66
8/26/15,1940.51
8/25/15,1867.61
8/24/15,1893.21
8/21/15,1970.89
8/20/15,2035.73
8/19/15,2079.61
8/18/15,2096.92
8/17/15,2102.44
8/14/15,2091.54
8/13/15,2083.39
8/12/15,2086.05
8/11/15,2084.07
8/10/15,2104.18
8/7/15,2077.57
8/6/15,2083.56
8/5/15,2099.84
8/4/15,2093.32
8/3/15,2098.04
7/31/15,2103.84
7/30/15,2108.63
7/29/15,2108.57
7/28/15,2093.25
7/27/15,2067.64
7/24/15,2079.65
7/23/15,2102.15
7/22/15,2114.15
7/21/15,2119.21
7/20/15,2128.28
7/17/15,2126.64
7/16/15,2124.29
7/15/15,2107.40
7/14/15,2108.96
7/13/15,2099.60
7/10/15,2076.62
7/9/15,2051.31
7/8/15,2046.68
7/7/15,2081.34
7/6/15,2068.76
7/2/15,2076.78
7/1/15,2077.42
6/30/15,2063.11
6/29/15,2057.64
6/26/15,2101.49
6/25/15,2102.31
6/24/15,2108.58
6/23/15,2124.20
6/22/15,2122.85
6/19/15,2109.99
6/18/15,2121.24
6/17/15,2100.44
6/16/15,2096.29
6/15/15,2084.43
6/12/15,2094.11
6/11/15,2108.86
6/10/15,2105.20
6/9/15,2080.15
6/8/15,2079.28
6/5/15,2092.83
6/4/15,2095.84
6/3/15,2114.07
6/2/15,2109.60
6/1/15,2111.73
5/29/15,2107.39
5/28/15,2120.79
5/27/15,2123.48
5/26/15,2104.20
5/22/15,2126.06
5/21/15,2130.82
5/20/15,2125.85
5/19/15,2127.83
5/18/15,2129.20
5/15/15,2122.73
5/14/15,2121.10
5/13/15,2098.48
5/12/15,2099.12
5/11/15,2105.33
5/8/15,2116.10
5/7/15,2088.00
5/6/15,2080.15
5/5/15,2089.46
5/4/15,2114.49
5/1/15,2108.29
4/30/15,2085.51
4/29/15,2106.85
4/28/15,2114.76
4/27/15,2108.92
4/24/15,2117.69
4/23/15,2112.93
4/22/15,2107.96
4/21/15,2097.29
4/20/15,2100.40
4/17/15,2081.18
4/16/15,2104.99
4/15/15,2106.63
4/14/15,2095.84
4/13/15,2092.43
4/10/15,2102.06
4/9/15,2091.18
4/8/15,2081.90
4/7/15,2076.33
4/6/15,2080.62
4/2/15,2066.96
4/1/15,2059.69
3/31/15,2067.89
3/30/15,2086.24
3/27/15,2061.02
3/26/15,2056.15
3/25/15,2061.05
3/24/15,2091.50
3/23/15,2104.42
3/20/15,2108.10
3/19/15,2089.27
3/18/15,2099.50
3/17/15,2074.28
3/16/15,2081.19
3/13/15,2053.40
3/12/15,2065.95
3/11/15,2040.24
3/10/15,2044.16
3/9/15,2079.43
3/6/15,2071.26
3/5/15,2101.04
3/4/15,2098.53
3/3/15,2107.78
3/2/15,2117.39
2/27/15,2104.50
2/26/15,2110.74
2/25/15,2113.86
2/24/15,2115.48
2/23/15,2109.66
2/20/15,2110.30
2/19/15,2097.45
2/18/15,2099.68
2/17/15,2100.34
2/13/15,2096.99
2/12/15,2088.48
2/11/15,2068.53
2/10/15,2068.59
2/9/15,2046.74
2/6/15,2055.47
2/5/15,2062.52
2/4/15,2041.51
2/3/15,2050.03
2/2/15,2020.85
1/30/15,1994.99
1/29/15,2021.25
1/28/15,2002.16
1/27/15,2029.55
1/26/15,2057.09
1/23/15,2051.82
1/22/15,2063.15
1/21/15,2032.12
1/20/15,2022.55
1/16/15,2019.42
1/15/15,1992.67
1/14/15,2011.27
1/13/15,2023.03
1/12/15,2028.26
1/9/15,2044.81
1/8/15,2062.14
1/7/15,2025.90
1/6/15,2002.61
1/5/15,2020.58
1/2/15,2058.20
12/31/14,2058.90
12/30/14,2080.35
12/29/14,2090.57
12/26/14,2088.77
12/24/14,2081.88
12/23/14,2082.17
12/22/14,2078.54
12/19/14,2070.65
12/18/14,2061.23
12/17/14,2012.89
12/16/14,1972.74
12/15/14,1989.63
12/12/14,2002.33
12/11/14,2035.33
12/10/14,2026.14
12/9/14,2059.82
12/8/14,2060.31
12/5/14,2075.37
12/4/14,2071.92
12/3/14,2074.33
12/2/14,2066.55
12/1/14,2053.44
11/28/14,2067.56
11/26/14,2072.83
11/25/14,2067.03
11/24/14,2069.41
11/21/14,2063.50
